modelId,brandId,brandName,modelName,vehicleClassCodes,status,publishable,providerLane,providerMake,providerModelFamily,providerModelYear,exactMatchReview,currentImageUrl,targetAssetPath,requestedPaintDescription,requestedAngle,requestedZoomType,requestedFileType,requestedWidth
vehicle-bmw-i3,brand-bmw,宝马,i3,passenger_car,approved,true,owned_reviewed_asset,宝马,i3,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i3.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i3.webp,white,28,relative,webp,800
vehicle-bmw-i4,brand-bmw,宝马,i4,passenger_car,approved,true,owned_reviewed_asset,宝马,i4,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i4.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i4.webp,white,28,relative,webp,800
vehicle-bmw-i5,brand-bmw,宝马,i5,passenger_car,approved,true,owned_reviewed_asset,宝马,i5,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i5.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i5.webp,white,28,relative,webp,800
vehicle-bmw-i7,brand-bmw,宝马,i7,passenger_car,approved,true,owned_reviewed_asset,宝马,i7,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i7.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i7.webp,white,28,relative,webp,800
vehicle-bmw-ix,brand-bmw,宝马,iX,passenger_car,approved,true,owned_reviewed_asset,宝马,iX,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-ix.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-ix.webp,white,28,relative,webp,800
vehicle-bmw-ix1,brand-bmw,宝马,iX1,passenger_car,approved,true,owned_reviewed_asset,宝马,iX1,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-ix1.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-ix1.webp,white,28,relative,webp,800
vehicle-bmw-ix3,brand-bmw,宝马,iX3,passenger_car,approved,true,owned_reviewed_asset,宝马,iX3,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-ix3.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-ix3.webp,white,28,relative,webp,800
vehicle-bmw-i8,brand-bmw,宝马,i8,passenger_car,approved,true,owned_reviewed_asset,宝马,i8,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i8.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-i8.webp,white,28,relative,webp,800
vehicle-bmw-m2,brand-bmw,宝马,M2,passenger_car,approved,true,owned_reviewed_asset,宝马,M2,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m2.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m2.webp,white,28,relative,webp,800
vehicle-bmw-m3,brand-bmw,宝马,M3,passenger_car,approved,true,owned_reviewed_asset,宝马,M3,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m3.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m3.webp,white,28,relative,webp,800
vehicle-bmw-m4,brand-bmw,宝马,M4,passenger_car,approved,true,owned_reviewed_asset,宝马,M4,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m4.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m4.webp,white,28,relative,webp,800
vehicle-bmw-m5,brand-bmw,宝马,M5,passenger_car,approved,true,owned_reviewed_asset,宝马,M5,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m5.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-m5.webp,white,28,relative,webp,800
vehicle-bmw-xm,brand-bmw,宝马,XM,passenger_car,approved,true,owned_reviewed_asset,宝马,XM,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-xm.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-xm.webp,white,28,relative,webp,800
